model,provider,algorithm,task,paradigm,stage,k_disclosed,n_shot,n_test,key_seed,data_seed,accuracy,parse_error,key_cell_accuracy,undisclosed_cell_accuracy,key_exact_match,heldout_accuracy,git_commit,finished_at,path,format
results/finetuned_models/qwen2.5_3b/simple_add/run_20260716_120102,lora,simple_add,predict,pure,0,0,0,20,0,1000000,1.0,0,,,,,706d2e6,2026-07-16T12:10:59,results/llm_eval/qwen2.5_3b_ft_20260716_120102/simple_add/predict_pure/n0_stage0_k0/ks0_ds1000000,v2
/home/nalt/ghq/github.com/Naruto-Takahashi/human-computable-passwords/results/finetuned_models/qwen2.5_3b/table_add_k26/run_20260716_192129,lora,table_add_k26,predict,pure,2,0,0,50,0,0,0.08,0,,,,,706d2e6,2026-07-16T21:03:09,results/llm_eval/qwen2.5_3b_ft_20260716_192129/table_add_k26/predict_pure/n0_stage2_k0/ks0_ds0,v2
/home/nalt/ghq/github.com/Naruto-Takahashi/human-computable-passwords/results/llm_finetune/qwen2.5_3b/pointer_k10/run_20260728_033104,lora,pointer_k10,predict,pure,2,0,0,50,0,0,0.34,0,,,,,5a5f94b,2026-07-28T05:13:50,results/llm_eval/qwen2.5_3b_ft_20260728_033104/pointer_k10/predict_pure/n0_stage2_k0/ks0_ds0,v2
/home/nalt/ghq/github.com/Naruto-Takahashi/human-computable-passwords/results/finetuned_models/qwen2.5_3b/lookup_k26/run_20260716_160156,lora,lookup_k26,predict,pure,2,0,0,50,0,0,1.0,0,,,,,706d2e6,2026-07-16T17:38:12,results/llm_eval/qwen2.5_3b_ft_20260716_160156/lookup_k26/predict_pure/n0_stage2_k0/ks0_ds0,v2
/home/nalt/ghq/github.com/Naruto-Takahashi/human-computable-passwords/results/finetuned_models/qwen2.5_3b/lookup_k10/run_20260716_142731,lora,lookup_k10,predict,pure,2,0,0,50,0,0,1.0,0,,,,,706d2e6,2026-07-16T16:01:54,results/llm_eval/qwen2.5_3b_ft_20260716_142731/lookup_k10/predict_pure/n0_stage2_k0/ks0_ds0,v2
/home/nalt/ghq/github.com/Naruto-Takahashi/human-computable-passwords/results/llm_finetune/qwen2.5_3b/table_add_k26/run_20260721_161433,lora,table_add_k26,predict,pure,2,0,0,50,0,0,1.0,0,,,,,8538ab8,2026-07-22T00:34:26,results/llm_eval/qwen2.5_3b_ft_20260721_161433/table_add_k26/predict_pure/n0_stage2_k0/ks0_ds0,v2
/home/nalt/ghq/github.com/Naruto-Takahashi/human-computable-passwords/results/finetuned_models/qwen2.5_3b/table_add_k16/run_20260717_150129,lora,table_add_k16,predict,pure,2,0,0,50,0,0,1.0,0,,,,,706d2e6,2026-07-17T16:42:26,results/llm_eval/qwen2.5_3b_ft_20260717_150129/table_add_k16/predict_pure/n0_stage2_k0/ks0_ds0,v2
qwen2.5:7b,ollama,func_pow,predict,rationale_pot,1,5,10,5,42,42,1.0,0,,,,,,,results/llm_eval/qwen2.5_7b/stage1_pot/func_pow/run_20260626_182913,legacy
qwen2.5:7b,ollama,func_31,predict,rationale_pot,1,5,10,5,42,42,0.4,0,,,,,,,results/llm_eval/qwen2.5_7b/stage1_pot/func_31/run_20260626_181944,legacy
qwen2.5:7b,ollama,func_13,predict,rationale_pot,1,5,10,5,42,42,0.4,0,,,,,,,results/llm_eval/qwen2.5_7b/stage1_pot/func_13/run_20260626_180823,legacy
qwen2.5:7b,ollama,simple_add,predict,rationale_pot,1,5,10,5,42,42,1.0,0,,,,,,,results/llm_eval/qwen2.5_7b/stage1_pot/simple_add/run_20260626_180317,legacy
qwen2.5_3b/func_22/run_20260703_160130,lora,func_22,predict,pot,0,0,10,3,42,42,0.0,2,,,,,,,results/llm_eval/qwen2.5_3b_ft/pot/func_22/run_20260703_164309,legacy
qwen2.5_3b/func_22/run_20260703_164407,lora,func_22,predict,pot,0,0,10,3,42,42,0.0,3,,,,,,,results/llm_eval/qwen2.5_3b_ft/pot/func_22/run_20260703_164539,legacy
qwen2.5_3b/func_22/run_20260704_060001,lora,func_22,predict,pot,0,0,10,100,42,42,0.0,98,,,,,,,results/llm_eval/qwen2.5_3b_ft/pot/func_22/run_20260704_061449,legacy
qwen2.5_3b/func_22/run_20260703_200935,lora,func_22,predict,pot,0,0,10,100,42,42,0.06,49,,,,,,,results/llm_eval/qwen2.5_3b_ft/pot/func_22/run_20260703_230516,legacy
qwen2.5_3b/func_22/run_20260704_132018,lora,func_22,predict,pot,0,0,10,100,42,42,0.13,8,,,,,,,results/llm_eval/qwen2.5_3b_ft/pot/func_22/run_20260704_134941,legacy
qwen2.5_3b/func_22/run_20260704_143051,lora,func_22,predict,pot,0,0,10,100,42,42,1.0,0,,,,,,,results/llm_eval/qwen2.5_3b_ft/pot/func_22/run_20260704_144541,legacy
qwen2.5_3b/func_22/run_20260705_025608,lora,func_22,predict,pure,0,0,10,50,42,42,0.16,0,,,,,,,results/llm_eval/qwen2.5_3b_ft/pure/func_22/run_20260705_032017,legacy
qwen2.5_3b/func_22/run_20260704_204311,lora,func_22,predict,pure,0,0,10,100,42,42,0.05,0,,,,,,,results/llm_eval/qwen2.5_3b_ft/pure/func_22/run_20260704_230837,legacy
qwen2.5_3b/func_22/run_20260705_021019,lora,func_22,predict,pure,0,0,10,50,42,42,0.12,0,,,,,,,results/llm_eval/qwen2.5_3b_ft/pure/func_22/run_20260705_023759,legacy
qwen2.5_3b/func_22/run_20260706_115157,lora,func_22,predict,pure,0,0,10,50,42,42,0.2,0,,,,,,,results/llm_eval/qwen2.5_3b_ft/pure/func_22/run_20260706_123246,legacy
qwen2.5_3b/simple_add/run_20260705_132018,lora,simple_add,predict,pure,0,0,10,50,42,42,0.08,0,,,,,,,results/llm_eval/qwen2.5_3b_ft/pure/simple_add/run_20260705_135246,legacy
qwen2.5_3b/simple_add/run_20260705_233644,lora,simple_add,predict,pure,0,0,10,50,42,42,0.06,0,,,,,,,results/llm_eval/qwen2.5_3b_ft/pure/simple_add/run_20260706_044832,legacy
qwen2.5_3b/simple_add/run_20260705_190237,lora,simple_add,predict,pure,0,0,10,50,42,42,0.2,0,,,,,,,results/llm_eval/qwen2.5_3b_ft/pure/simple_add/run_20260705_193500,legacy
qwen2.5:14b,ollama,func_pow,predict,rationale_pot,1,5,10,5,42,42,1.0,0,,,,,,,results/llm_eval/qwen2.5_14b/stage1_pot/func_pow/run_20260626_162505,legacy
qwen2.5:14b,ollama,func_31,predict,rationale_pot,1,5,10,5,42,42,0.6,1,,,,,,,results/llm_eval/qwen2.5_14b/stage1_pot/func_31/run_20260626_160702,legacy
qwen2.5:14b,ollama,func_13,predict,rationale_pot,1,5,10,5,42,42,0.2,0,,,,,,,results/llm_eval/qwen2.5_14b/stage1_pot/func_13/run_20260626_154207,legacy
qwen2.5:14b,ollama,simple_add,predict,rationale_pot,1,5,10,5,42,42,1.0,0,,,,,,,results/llm_eval/qwen2.5_14b/stage1_pot/simple_add/run_20260626_152855,legacy
